Feature,Score
admin name2__Stafford,0
admin name2__Stanislaus,0
admin name2__Stanly,0
admin name2__Stark,0
admin name2__Stearns,0
admin name2__Steele,0
admin name2__Stephens,0
admin name2__Stephenson,0
admin name2__Steuben,0
admin name2__Stevens,0
admin name2__Stoddard,0
admin name2__Strafford,0
admin name2__Stutsman,0
admin name2__Suffolk,0
admin name2__Sullivan,0
admin name2__Summit,6
admin name2__Sumner,0
admin name2__Sumter,17
admin name2__Surry,0
admin name2__Susquehanna,0
admin name2__Sussex,0
admin name2__Sutter,0
admin name2__Suwannee,0
admin name2__Swift,0
admin name2__Talbot,0
admin name2__Talladega,0
admin name2__Tallapoosa,0
admin name2__Tama,0
admin name2__Tangipahoa,0
admin name2__Tarrant,0
admin name2__Taylor,0
admin name2__Tazewell,0
admin name2__Teller,0
admin name2__Terrebonne,0
admin name2__Terrell,0
admin name2__Texas,0
admin name2__Thomas,0
admin name2__Thurston,0
admin name2__Tift,0
admin name2__Tillamook,0
admin name2__Tillman,0
admin name2__Tioga,0
admin name2__Tippah,0
admin name2__Tippecanoe,0
admin name2__Tipton,0
admin name2__Titus,0
admin name2__Tolland,0
admin name2__Tom Green,0
admin name2__Tompkins,0
admin name2__Tooele,0
admin name2__Traill,0
admin name2__Travis,2
admin name2__Trempealeau,0
admin name2__Treutlen,0
admin name2__Trinity,0
admin name2__Tripp,0
admin name2__Trumbull,0
admin name2__Tulare,0
admin name2__Tulsa,0
admin name2__Tunica,0
admin name2__Tuolumne,0
admin name2__Tuscaloosa,0
admin name2__Tuscarawas,23
admin name2__Tuscola,0
admin name2__Twin Falls,0
admin name2__Uintah,0
admin name2__Ulster,0
admin name2__Unicoi,0
admin name2__Union,0
admin name2__Utah,0
admin name2__Valencia,0
admin name2__Van Buren,0
admin name2__Van Wert,0
